17;1989.68;43.7;23.89;17.58;89.06;-2.61;-3.5;4;180;-3.48;20.61;23.38;18.04
9.4;1100.176;28.9;23.38;18.04;89.11;-2.62;-3.51;4;180;-3.28;23.2;21.67;17.58
12.6;1474.704;37.9;21.67;17.58;89.17;-2.63;-3.52;4;180;-3.54;21.55;22.44;18.2
13.8;1615.152;33.1;22.44;18.2;89.22;-2.64;-3.53;4;180;-3.65;22.87;22.95;17.41
14.8;1732.192;36.9;22.95;17.41;89.28;-2.66;-3.55;4;180;-3.58;21.66;23.07;17.83
7.6;889.504;31.4;23.07;17.83;89.33;-2.67;-3.56;4;180;-3.81;22.57;22.31;18.2
14.1;1650.264;33.6;22.31;18.2;89.39;-2.68;-3.57;4;180;-3.5;22.72;23.59;17.41
7.7;901.208;28.5;23.59;17.41;89.44;-2.69;-3.58;4;180;-3.68;23.14;22.95;17.52
14.8;1732.192;31.2;22.95;17.52;89.5;-2.7;-3.6;4;180;-3.7;22.19;23.5;17.13
6.3;737.352;32;23.5;17.13;89.55;-2.71;-3.61;4;180;-3.39;22.77;23.6;17.37
13.8;1615.152;30.6;23.6;17.37;89.61;-2.72;-3.62;4;180;-3.46;22.53;22.17;17.88
10.8;1264.032;38.8;22.17;17.88;89.67;-2.73;-3.63;4;180;-3.79;21.57;22.12;17.17
12;1404.48;30.1;22.12;17.17;89.72;-2.74;-3.64;4;180;-3.51;22.59;22.14;16.46
12.3;1439.592;33.9;22.14;16.46;89.78;-2.76;-3.66;4;180;-3.39;22.68;23.59;15.83
13.6;1591.744;36.3;23.59;15.83;89.83;-2.77;-3.67;4;180;-3.5;21.52;23.62;15.86
4.7;550.088;35.8;23.62;15.86;89.89;-2.78;-3.68;4;180;-3.46;21.65;22.32;15.58
11.4;1334.256;29.5;22.32;15.58;89.94;-2.79;-3.69;4;180;-3.66;23.2;23.45;16.42
14.4;1685.376;32.8;23.45;16.42;90;-2.8;-3.7;4;180;-3.75;22.55;22.37;15.46
4.1;479.864;30.1;22.37;15.46;90.33;-2.85;-3.75;3.94;180;-3.77;22.38;22.18;15.91
13.1;1533.224;32.5;22.18;15.91;90.67;-2.9;-3.81;3.89;180;-3.9;22.14;21.88;15.69
14.6;1708.784;38.1;21.88;15.69;91;-2.95;-3.86;3.83;180;-3.8;21.76;22.91;16.15
8.8;1029.952;28.8;22.91;16.15;91.33;-3;-3.91;3.78;180;-3.71;23.54;22.64;15.53
5.6;655.424;32.7;22.64;15.53;91.67;-3.05;-3.97;3.72;180;-3.72;22.26;23.28;15.53
6.4;749.056;34.2;23.28;15.53;92;-3.1;-4.02;3.67;180;-3.71;22.55;23.19;15.3
14.9;1743.896;32.4;23.19;15.3;92.33;-3.15;-4.07;3.61;180;-4.16;22.29;23.37;15.67
12.5;1463;33.6;23.37;15.67;92.67;-3.2;-4.13;3.56;180;-3.76;22.22;21.92;15.36
7.1;830.984;38.6;21.92;15.36;93;-3.25;-4.18;3.5;180;-3.85;21.58;23.68;15.31
7.8;912.912;34.9;23.68;15.31;93.33;-3.3;-4.23;3.45;180;-4.14;22.21;23.45;15.74
11.2;1310.848;35.5;23.45;15.74;93.67;-3.35;-4.29;3.39;180;-4.25;21.39;22.1;16.21
11;1287.44;35.1;22.1;16.21;94;-3.4;-4.34;3.33;180;-4.16;21.71;21.73;16.95
8.9;1041.656;37.7;21.73;16.95;94.33;-3.45;-4.39;3.28;180;-4.25;21.54;23.03;15.61
4.3;503.272;38.1;23.03;15.61;94.67;-3.5;-4.45;3.22;180;-4.35;21.52;23.14;16.04
13.2;1544.928;37;23.14;16.04;95;-3.55;-4.5;3.17;180;-4.47;21.5;23.57;15.51
6.6;772.464;36.6;23.57;15.51;95.33;-3.6;-4.55;3.11;180;-4.17;21.59;22.15;15.75
6.9;807.576;29;22.15;15.75;95.67;-3.65;-4.61;3.06;180;-4.34;23.51;23.43;16.06
12.2;1427.888;37.4;23.43;16.06;96;-3.7;-4.66;3;180;-4.24;21.3;23.07;16.09
9.3;1088.472;32.9;23.07;16.09;96;-3.73;-4.69;3;180;-4.16;22.57;23.15;16.23
7.7;901.208;28.4;23.15;16.23;96;-3.77;-4.73;3;180;-4.29;23.27;22.76;15.46
12.5;1463;28.8;22.76;15.46;96;-3.8;-4.76;3;180;-4.5;23.42;22.88;16.21
8.5;994.84;35.1;22.88;16.21;96;-3.83;-4.79;3;180;-4.47;21.8;21.98;16.28
13.2;1544.928;35.1;21.98;16.28;96;-3.87;-4.83;3;180;-4.5;21.36;23.08;15.99
11.1;1299.144;34.7;23.08;15.99;96;-3.9;-4.86;3;180;-4.36;22.44;22.67;15.6
6.6;772.464;30.7;22.67;15.6;96;-3.93;-4.89;3;180;-4.43;22.53;22.31;15.47
12.2;1427.888;34.7;22.31;15.47;96;-3.97;-4.93;3;180;-4.67;22.55;23.37;15.78
6.4;749.056;36.3;23.37;15.78;96;-4;-4.96;3;180;-4.6;21.57;23.53;16.03
11;1287.44;35.9;23.53;16.03;96;-4.03;-4.99;3;180;-4.91;21.83;23.01;15.51
11.3;1322.552;34.7;23.01;15.51;96;-4.07;-5.03;3;180;-4.78;22.62;23.09;15.43
